my,phi,v0,v1,v2,v3,v4
0.08,5.02655,0.282095,0.463199,0.0390882,-0.150503,-0
0.08,5.15221,0.282095,0.440684,0.0390882,-0.20737,-0
0.08,5.27788,0.282095,0.411218,0.0390882,-0.260967,-0
0.08,5.40354,0.282095,0.375268,0.0390882,-0.310449,-0
0.08,5.5292,0.282095,0.333399,0.0390882,-0.355034,-0
0.08,5.65487,0.282095,0.286273,0.0390882,-0.394021,-0
0.08,5.78053,0.282095,0.234632,0.0390882,-0.426793,-0
0.08,5.90619,0.282095,0.17929,0.0390882,-0.452835,-0
0.08,6.03186,0.282095,0.121121,0.0390882,-0.471735,-0
0.08,6.15752,0.282095,0.0610419,0.0390882,-0.483196,-0
0.12,0,0.282095,-0,0.0586323,-0.485072,0
0.12,0.125664,0.282095,-0.0607956,0.0586323,-0.481247,0
0.12,0.251327,0.282095,-0.120632,0.0586323,-0.469832,0
0.12,0.376991,0.282095,-0.178567,0.0586323,-0.451008,0
0.12,0.502655,0.282095,-0.233685,0.0586323,-0.425072,0
0.12,0.628319,0.282095,-0.285118,0.0586323,-0.392431,0
0.12,0.753982,0.282095,-0.332055,0.0586323,-0.353602,0
0.12,0.879646,0.282095,-0.373754,0.0586323,-0.309196,0
0.12,1.00531,0.282095,-0.40956,0.0586323,-0.259914,0
0.12,1.13097,0.282095,-0.438906,0.0586323,-0.206534,0
0.12,1.25664,0.282095,-0.461331,0.0586323,-0.149895,0
0.12,1.3823,0.282095,-0.47648,0.0586323,-0.0908934,0
0.12,1.50796,0.282095,-0.484115,0.0586323,-0.0304579,0
0.12,1.63363,0.282095,-0.484115,0.0586323,0.0304579,-0
0.12,1.75929,0.282095,-0.47648,0.0586323,0.0908934,-0
0.12,1.88496,0.282095,-0.461331,0.0586323,0.149895,-0
0.12,2.01062,0.282095,-0.438906,0.0586323,0.206534,-0
0.12,2.13628,0.282095,-0.40956,0.0586323,0.259914,-0
0.12,2.26195,0.282095,-0.373754,0.0586323,0.309196,-0
0.12,2.38761,0.282095,-0.332055,0.0586323,0.353602,-0
0.12,2.51327,0.282095,-0.285118,0.0586323,0.392431,-0
0.12,2.63894,0.282095,-0.233685,0.0586323,0.425072,-0
0.12,2.7646,0.282095,-0.178567,0.0586323,0.451008,-0
0.12,2.89027,0.282095,-0.120632,0.0586323,0.469832,-0
0.12,3.01593,0.282095,-0.0607956,0.0586323,0.481247,-0
0.12,3.14159,0.282095,1.56011e-16,0.0586323,0.485072,0
0.12,3.26726,0.282095,0.0607956,0.0586323,0.481247,0
0.12,3.39292,0.282095,0.120632,0.0586323,0.469832,0
0.12,3.51858,0.282095,0.178567,0.0586323,0.451008,0
0.12,3.64425,0.282095,0.233685,0.0586323,0.425072,0
0.12,3.76991,0.282095,0.285118,0.0586323,0.392431,0
0.12,3.89557,0.282095,0.332055,0.0586323,0.353602,0
0.12,4.02124,0.282095,0.373754,0.0586323,0.309196,0
0.12,4.1469,0.282095,0.40956,0.0586323,0.259914,0
0.12,4.27257,0.282095,0.438906,0.0586323,0.206534,0
0.12,4.39823,0.282095,0.461331,0.0586323,0.149895,0
0.12,4.52389,0.282095,0.47648,0.0586323,0.0908934,0
0.12,4.64956,0.282095,0.484115,0.0586323,0.0304579,0
0.12,4.77522,0.282095,0.484115,0.0586323,-0.0304579,-0
0.12,4.90088,0.282095,0.47648,0.0586323,-0.0908934,-0
0.12,5.02655,0.282095,0.461331,0.0586323,-0.149895,-0
0.12,5.15221,0.282095,0.438906,0.0586323,-0.206534,-0
0.12,5.27788,0.282095,0.40956,0.0586323,-0.259914,-0
0.12,5.40354,0.282095,0.373754,0.0586323,-0.309196,-0
0.12,5.5292,0.282095,0.332055,0.0586323,-0.353602,-0
0.12,5.65487,0.282095,0.285118,0.0586323,-0.392431,-0
0.12,5.78053,0.282095,0.233685,0.0586323,-0.425072,-0
0.12,5.90619,0.282095,0.178567,0.0586323,-0.451008,-0
0.12,6.03186,0.282095,0.120632,0.0586323,-0.469832,-0
0.12,6.15752,0.282095,0.0607956,0.0586323,-0.481247,-0
0.16,0,0.282095,-0,0.0781764,-0.482308,0
0.16,0.125664,0.282095,-0.0604492,0.0781764,-0.478505,0
0.16,0.251327,0.282095,-0.119945,0.0781764,-0.467155,0
0.16,0.376991,0.282095,-0.177549,0.0781764,-0.448439,0
0.16,0.502655,0.282095,-0.232354,0.0781764,-0.42265,0
0.16,0.628319,0.282095,-0.283493,0.0781764,-0.390195,0
0.16,0.753982,0.282095,-0.330162,0.0781764,-0.351587,0
0.16,0.879646,0.282095,-0.371625,0.0781764,-0.307435,0
0.16,1.00531,0.282095,-0.407226,0.0781764,-0.258433,0
0.16,1.13097,0.282095,-0.436405,0.0781764,-0.205357,0
0.16,1.25664,0.282095,-0.458702,0.0781764,-0.149041,0
0.16,1.3823,0.282095,-0.473765,0.0781764,-0.0903755,0
0.16,1.50796,0.282095,-0.481356,0.0781764,-0.0302844,0
0.16,1.63363,0.282095,-0.481356,0.0781764,0.0302844,-0
0.16,1.75929,0.282095,-0.473765,0.0781764,0.0903755,-0
0.16,1.88496,0.282095,-0.458702,0.0781764,0.149041,-0
0.16,2.01062,0.282095,-0.436405,0.0781764,0.205357,-0
0.16,2.13628,0.282095,-0.407226,0.0781764,0.258433,-0
0.16,2.26195,0.282095,-0.371625,0.0781764,0.307435,-0
