my,phi,v0,v1,v2,v3,v4,v5,v6,v7,v8
-0.92,2.13628,0.282095,-0.161682,-0.449514,0.102607,-0.075922,0.33261,0.485451,-0.211081,-0.0357262
-0.92,2.26195,0.282095,-0.147547,-0.449514,0.122062,-0.0824215,0.303532,0.485451,-0.251103,-0.0157227
-0.92,2.38761,0.282095,-0.131085,-0.449514,0.139592,-0.0837421,0.269667,0.485451,-0.287166,0.00526861
-0.92,2.51327,0.282095,-0.112556,-0.449514,0.154921,-0.079801,0.231549,0.485451,-0.3187,0.0259289
-0.92,2.63894,0.282095,-0.0922521,-0.449514,0.167806,-0.0708456,0.189779,0.485451,-0.345208,0.04496
-0.92,2.7646,0.282095,-0.070493,-0.449514,0.178045,-0.0574388,0.145017,0.485451,-0.366271,0.0611661
-0.92,2.89027,0.282095,-0.0476222,-0.449514,0.185476,-0.0404229,0.0979676,0.485451,-0.381558,0.0735289
-0.92,3.01593,0.282095,-0.0240003,-0.449514,0.189982,-0.020867,0.0493731,0.485451,-0.390828,0.0812716
-0.92,3.14159,0.282095,6.15886e-17,-0.449514,0.191492,5.39736e-17,-1.26699e-16,0.485451,-0.393935,0.0839077
-0.92,3.26726,0.282095,0.0240003,-0.449514,0.189982,0.020867,-0.0493731,0.485451,-0.390828,0.0812716
-0.92,3.39292,0.282095,0.0476222,-0.449514,0.185476,0.0404229,-0.0979676,0.485451,-0.381558,0.0735289
-0.92,3.51858,0.282095,0.070493,-0.449514,0.178045,0.0574388,-0.145017,0.485451,-0.366271,0.0611661
-0.92,3.64425,0.282095,0.0922521,-0.449514,0.167806,0.0708456,-0.189779,0.485451,-0.345208,0.04496
-0.92,3.76991,0.282095,0.112556,-0.449514,0.154921,0.079801,-0.231549,0.485451,-0.3187,0.0259289
-0.92,3.89557,0.282095,0.131085,-0.449514,0.139592,0.0837421,-0.269667,0.485451,-0.287166,0.00526861
-0.92,4.02124,0.282095,0.147547,-0.449514,0.122062,0.0824215,-0.303532,0.485451,-0.251103,-0.0157227
-0.92,4.1469,0.282095,0.161682,-0.449514,0.102607,0.075922,-0.33261,0.485451,-0.211081,-0.0357262
-0.92,4.27257,0.282095,0.173267,-0.449514,0.0815335,0.064652,-0.356443,0.485451,-0.167729,-0.0534848
-0.92,4.39823,0.282095,0.18212,-0.449514,0.0591744,0.0493197,-0.374654,0.485451,-0.121732,-0.0678828
-0.92,4.52389,0.282095,0.1881,-0.449514,0.0358821,0.0308885,-0.386957,0.485451,-0.073816,-0.0780154
-0.92,4.64956,0.282095,0.191114,-0.449514,0.0120239,0.0105164,-0.393157,0.485451,-0.0247354,-0.0832461
-0.92,4.77522,0.282095,0.191114,-0.449514,-0.0120239,-0.0105164,-0.393157,0.485451,0.0247354,-0.0832461
-0.92,4.90088,0.282095,0.1881,-0.449514,-0.0358821,-0.0308885,-0.386957,0.485451,0.073816,-0.0780154
-0.92,5.02655,0.282095,0.18212,-0.449514,-0.0591744,-0.0493197,-0.374654,0.485451,0.121732,-0.0678828
-0.92,5.15221,0.282095,0.173267,-0.449514,-0.0815335,-0.064652,-0.356443,0.485451,0.167729,-0.0534848
-0.92,5.27788,0.282095,0.161682,-0.449514,-0.102607,-0.075922,-0.33261,0.485451,0.211081,-0.0357262
-0.92,5.40354,0.282095,0.147547,-0.449514,-0.122062,-0.0824215,-0.303532,0.485451,0.251103,-0.0157227
-0.92,5.5292,0.282095,0.131085,-0.449514,-0.139592,-0.0837421,-0.269667,0.485451,0.287166,0.00526861
-0.92,5.65487,0.282095,0.112556,-0.449514,-0.154921,-0.079801,-0.231549,0.485451,0.3187,0.0259289
-0.92,5.78053,0.282095,0.0922521,-0.449514,-0.167806,-0.0708456,-0.189779,0.485451,0.345208,0.04496
-0.92,5.90619,0.282095,0.070493,-0.449514,-0.178045,-0.0574388,-0.145017,0.485451,0.366271,0.0611661
-0.92,6.03186,0.282095,0.0476222,-0.449514,-0.185476,-0.0404229,-0.0979676,0.485451,0.381558,0.0735289
-0.92,6.15752,0.282095,0.0240003,-0.449514,-0.189982,-0.020867,-0.0493731,0.485451,0.390828,0.0812716
-0.92,6.28319,0.282095,-1.23177e-16,-0.449514,-0.191492,1.07947e-16,2.53398e-16,0.485451,0.393935,0.0839077
-0.88,0,0.282095,-0,-0.42997,-0.232073,0,0,0.417326,0.45666,0.123239
